암호화요양기호,요양기관명,교통편명,노선번호,하차지점,방향,거리,비고
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,116-3,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,250,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,380,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,500,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,720,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,720-1,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,820,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,15,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,116-1,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,222,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,300,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,390,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,520,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,730,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안기완내과의원,시내버스,2,미금역 1번출구-병원앞,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,밝은덕한의원,지하철,분당선,서현역,시범단지,1Km,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,밝은덕한의원,마을버스,3,올림픽스포츠센터,요한성당,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,밝은덕한의원,마을버스,3-2,올림픽스포츠센터,장안중학교,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz,밝은덕한의원,시내버스,520,올림픽스포츠센터,신현리,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,청구경희한의원,시내버스,220,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,청구경희한의원,시내버스,720-1,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,청구경희한의원,시내버스,33-1,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,청구경희한의원,시내버스,116-3,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzUxIyQxIyQ1IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,청구경희한의원,시내버스,2,,,,
