암호화요양기호,요양기관명,진료과목코드,진료과목코드명,과목별 전문의수,선택진료 의사수
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ3OSQyNjE4MzIjNzEjJDEjJDgjJDgz,서울정형외과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQzIyQwMCQ0NjEwMDIjODEjJDEjJDIjJDgz,연세아이맘소아청소년과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4OSQzNjE4MzIjNzEjJDEjJDgjJDgz,루이의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEyMjIjNTEjJDEjJDIjJDgz,맑은성모이비인후과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz,키즈엠소아청소년과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,미래성모이비인후과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,서울탑내과의원,1,내과,1,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz,분당서울의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz,신상은정신건강의학과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ4MiQ0NjE0ODEjODEjJDEjJDIjJDgz,더그레이스의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQxMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,오세관정형외과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjE0ODEjNTEjJDEjJDIjJDgz,서울아산정형외과의원,1,내과,0,0
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjNDEjJDEjJDQjJDgz,열린이비인후과의원,1,내과,0,0
